Colegio Adventista de Arica,COADAR,Fundación Arnaldo Salamanca
Colegio Adventista de Iquique,CAI,Fundación Arnaldo Salamanca
Colegio Adventista de Calama,CADECAL,Fundación Arnaldo Salamanca
Colegio Adventista de Antofagasta,COADAN,Fundación Arnaldo Salamanca
Colegio Adventista de Copiapó,CADECOP,Fundación Arnaldo Salamanca
Jardín Adventista de Arica,JIADAR,Fundación Arnaldo Salamanca
Colegio Adventista de La Serena,CADELSE,Fundación Sanders de Groot
Escuela Adventista de Valparaíso,CADEVALPO,Fundación Sanders de Groot
Colegio Adventista La Calera,CADELCA,Fundación Sanders de Groot
Colegio Adventista de Quilpué,CADEQUI,Fundación Sanders de Groot
Colegio Adventista de Porvenir,CAP,Fundación Francisco Westphal
Colegio Adventista de Las Condes,CALC,Fundación Francisco Westphal
Colegio Adventista Santiago Norte,CASAN,Fundación Francisco Westphal
Colegio Adventista Santiago Poniente,CASAP,Fundación Francisco Westphal
Colegio Adventista Santiago Sur,CASS,Fundación Graciela Carvajal
Colegio Adventista Buenaventura,CAB,Fundación Graciela Carvajal
Colegio Adventista La Cisterna,COALC,Fundación Graciela Carvajal
Colegio Adventista la Florida,CALF,Fundación Graciela Carvajal
Escuela Adventista de Rancagua,CAR,Fundación José Torres
Colegio Adventista de Molina,CAM,Fundación José Torres
Colegio Adventista de Talca,COADET,Fundación José Torres
Colegio Adventista de Chile,CACH,Fundación Mario Veloso
Escuela Adventista Las Mariposas,EADMA,Fundación Mario Veloso
Escuela Adventista de Chillán,CADECH,Fundación Mario Veloso
Jardín Adventista de Chillán,PACH,Fundación Mario Veloso
Escuela Adventista de Quirao,EAQ,Fundación Mario Veloso
Escuela Adventista de Los Ángeles,EALA,Fundación Mario Veloso
Centro Educacional Adventista de Los Ángeles,CEALA,Fundación Mario Veloso
Colegio Adventista Talcahuano Centro,CATCE,Fundación Mario Veloso
Colegio Adventista de Talcahuano,CADET,Fundación Mario Veloso
Colegio Adventista de Hualpén,CADHU,Fundación Mario Veloso
Jardín Adventista de Concepción,JCONCE,Fundación Mario Veloso
Escuela Adventista de Concepción,CADECB,Fundación Mario Veloso
Colegio Adventista Concepción Media,CADECM,Fundación Mario Veloso
Colegio Adventista de Lota,CAL,Fundación Mario Veloso
Colegio Adventista de Angol,COADVAN,Fundación Julian Ocampo
Colegio Adventista de Temuco,LAT,Fundación Julian Ocampo
Colegio Adventista de Pitrufquen,COADPI,Fundación Julian Ocampo
Escuela Adventista de Trovolhue,COADTRO,Fundación Julian Ocampo
Colegio Adventista de Villarrica,CADVI,Fundación Julian Ocampo
Colegio Adventista de Valdivia,CADVA,Fundación Julian Ocampo
Colegio Adventista de Punta Arenas,COADPA,Fundación Julian Ocampo
Colegio Adventista de Osorno,COADOS,Fundación Julian Ocampo
Colegio Adventista de Puerto Montt,CADPU,Fundación Julian Ocampo
Jardín Adventista de Castro,JADCA,Fundación Julian Ocampo